,ID,reason,text,topic
0,2,window empty,"In addition, because none of this is associated with our university addresses, we are not subject to FOIAs, so we can say dumb things without the threat of being taken down for it.",topic-00
1,4,same author,yeo!,topic-00
2,5,same author,"we can share the codes `inline = rnorm(1,1,1)` and in blocks ``` blocks = rnorm(100, 1, 1) ```",topic-00
3,6,same author,"And, things stay in places that make sense.",topic-00
4,7,same author,"There are presently two additional channels to keep things straight. <#C16S81202> and <#C16RM7TD2> “subscribe"" to those if you haven’t.",topic-00
5,8,same author,"Also, the phone and desktop clients are nice.",topic-00
6,11,same author,sup <@U16S9N0LE>,topic-00
7,12,same author,sup <@U16RAECF5>,topic-00
8,14,same author,Another thought… because who doesn’t have time for more thoughts…,topic-00
9,15,same author,"There is a lot of working being done right now about evaluating the “gender tone” of job posts, resumes, etc. For example, work being done by <https://textio.com/> that is running things past a sentiment and gender filter on a bag of words. Possible for ballots when they come out? Candidate position statements? This is non-expermiental work, and probably just mostly sensational work that would be headed for the news cycle not a journal, but it is pretty low-hanging fruit.",topic-00
10,16,same author,I bet that we could even get them to task an intern onto collecting the corpus of text for us as well.,topic-00
11,19,cosine 0.855839314443,"Not for this election. That would have to be scraped, unfortunately. The Making Electoral Democracy Work project has press releases for campaigns in Britain and Canada for the last few elections but that corpus probably isn’t as interesting.",topic-00
12,17,no similarity nor grammatically a reply,My first thought was to use this to examine candidate press releases. I wonder about the extent to which the gender tone of these statement varies across parties and/or according to the gender of the candidate.,topic-01
13,18,previous topic with one element,Does a current corpus exist? Would love to know how Trump comes out in a mysogeny (sp???) score.,topic-01
14,20,cosine 0.876065416254,"I dunno, Trudeau’s campaign was pretty awesome.",topic-01
15,21,no similarity nor grammatically a reply,<@U16RAECF5>: we doing that evidence review today?,topic-01
16,22,same author,"yrp. I just finished a review, I'm going to give Devesh a quick call, then get on it.",topic-01
17,23,no similarity nor grammatically a reply,k. i’m there too...,topic-02
18,24,same author,"Is anybody mailing stamps to all-mail states? Perhaps for the general election the feds are taking care of postage, but for primaries people still have to pay postage (because it is not _strictly_ federal elections). Dammit, we should have done that.",topic-02
19,25,grammatically upenn tag DT,That would have been a sweet intervention.,topic-02
20,26,cosine 0.855377819115,Wait. It is still necessary to buy postage for mail in ballots in the general election.,topic-02
21,27,same author,<http://about.usps.com/election-mail/election-mail-dmm-sheet.pdf>,topic-02
22,28,same author,"So, mailing addresses, Oregon, GOTV messages, stamps.",topic-02
23,29,no similarity nor grammatically a reply,I’m with you here except for Oregon. Why Oregon?,topic-03
24,30,grammatically upenn tag DT,All mail state.,topic-03
25,31,same author,So there is no selection into who is mailing and who is going in person.,topic-03
26,32,no similarity nor grammatically a reply,Wow. I didn’t know that.,topic-04
27,33,same author,Address from voting files?,topic-04
28,34,same author,*addresses,topic-04
29,35,no similarity nor grammatically a reply,Yup. Those are going to be HELLA high fidelity because they are an all mail state.,topic-05
30,36,same author,"Additional treatment condition: mailing 2x the postage that is necessary, building in an explicit spillover on co-residents.",topic-05
31,37,grammatically upenn tag DT,"That would be dope. No one has done this in the past? Seems like something Green/Gerber would have stumbled on at some point. If not, it is pretty sweet. No possible harms that I can imagine.",topic-05
32,42,cosine 0.817807127371,"Yeah, that’s a short review. It is a shame that one of us doesn’t know Green, Gerber, or Sinclair. They would probably know.",topic-05
33,38,no similarity nor grammatically a reply,I dunno. Seems so low hanging. SO low hanging.,topic-06
34,39,same author,Here’s the closest I can find. From 2015. A natural experiment in Switzerland.,topic-06
35,40,same author,<http://www.econstor.eu/bitstream/10419/123257/1/cesifo_wp5617.pdf>,topic-06
36,41,same author,"Doesn’t have any citations to work that have manipulated postage. But, it doesn’t look exactly exhaustive.",topic-06
37,43,cosine 0.827749488355,I know both Green and Sinclair well enough that they would answer my emails.,topic-06
38,44,same author,"Ah, I shouldn’t have assumed. Might be something to run by them.",topic-06
39,45,grammatically universal tag CONJ,<http://bmchealthservres.biomedcentral.com/articles/10.1186/1472-6963-4-16>,topic-06
40,46,no similarity nor grammatically a reply,"But, I should be writing a dissertation...",topic-06
41,47,no similarity nor grammatically a reply,You and me both...,topic-07
42,48,same author,"Still, the simplicity is attractive. Plus, I always wanted to do a GOTV experiment",topic-07
43,49,same author,But yeah - dissertation,topic-07
44,50,cosine 0.84168166567,Difference is that my defense is in 14 days... and I’ve got chapters to go still.,topic-07
45,51,cosine 0.831587741308,Fair point.,topic-07
46,52,grammatically stemmed length of 1,Wow; that study you linked to is some BULLSHIT.,topic-07
47,53,same author,(Congrats on being so close!),topic-07
48,54,grammatically stemmed length of 1,Yeah,topic-07
49,55,grammatically upenn tag DT,"I’ll take your congrats when it is in the rearview mirror. Until then, I’m “working” hard.",topic-07
50,56,grammatically upenn tag DT,Gotcha,topic-07
51,57,no similarity nor grammatically a reply,Heh - <http://weblogs.sun-sentinel.com/news/politics/broward/blog/2012/03/is_a_postage_stamp_just_like_a_1.html>,topic-07
52,58,previous topic with one element,Sweet,topic-07
53,60,no similarity nor grammatically a reply,"a really interesting piece on design of experiments, courtesy of devesh: <https://www.povertyactionlab.org/sites/default/files/publications/20160401handbookExperimentalDesign.pdf>",topic-07
54,61,same author,"This looks awesome! Thanks, Micah!",topic-07
55,62,no similarity nor grammatically a reply,"Hey <@U16RAECF5> I’m working on that Pol Behavior submission today, are you around for questions?",topic-08
56,63,previous topic with one element,<@U16RLTH3N>: yepski. give me a call whenevs.,topic-08
57,64,no similarity nor grammatically a reply,"Aight, or we can iterate in here a little bit to support the changes that I’m making in the file in Dropbox. You’re probably seeing it ping around right now.",topic-09
58,65,same author,"I’ll put this talk in <#C1H66683U> for today, and then we can just remove it tomorrow when we submit.",topic-09
59,66,no similarity nor grammatically a reply,Mute this topic bitch,topic-10
60,68,same author,Im sorry. It's the sudafed,topic-10
61,69,no similarity nor grammatically a reply,Lookin’ a bit like Ahab there.,topic-11
62,70,grammatically stemmed length of 0,Sudafed*:wine_glass:,topic-11
63,71,same author,I'm working on it,topic-11
64,72,cosine 0.832771251695,"Preparin’ for those Ann Arbor winters, eh?",topic-11
65,73,same author,My razors are packed already,topic-11
66,74,no similarity nor grammatically a reply,Not sure if a razor is going to make it through that wicket...,topic-11
67,75,previous topic with one element,It is pretty impressive.,topic-11
68,76,no similarity nor grammatically a reply,2.5 months Apperantly,topic-12
69,77,same author,Alex!!!!,topic-12
70,78,same author,MR_PINK and I are harassing MR_WHITE on another channel. It's Alex's fault,topic-12
71,79,same author,<@U16RLTH3N>: !!!!!!!!!!,topic-12
72,80,grammatically stemmed length of 1,Clearly.,topic-12
73,81,no similarity nor grammatically a reply,I like this app,topic-13
74,82,previous topic with one element,<@U16TY5M6F>: How did that USAID boondoggle in Haiti end up going for you?,topic-13
75,83,same author,"And, um... congratulations to each of you for discovering the effect of penis names on responses to requests for information. Wang Dong!",topic-13
76,84,no similarity nor grammatically a reply,"Thanks Alex. We think that this finding makes several contributions and has obvious familial implications. That is, parents shouldn't name their kid Richard.",topic-14
77,85,previous topic with one element,you guys are actually fucked in the head. here's something of value: <http://stanford.edu/~dbroock/stanford-berkeley-opinion-survey/Stanford-Berkeley_Survey_of_Public_Opinion/Stanford-Berkeley_Opinion_Survey.html>,topic-14
78,86,same author,People – can I please have the basic citation on parental influence? Is it Converse? Please excavation point?,topic-14
79,87,cosine 0.818069422789,"Campbell, Converse, Miller, and Stokes. 1960. The American voter. New York: John Wiley &amp; Sons, Inc.",topic-14
80,88,cosine 0.810460685346,Haiti project is humming right along,topic-14
81,89,cosine 0.833862353082,I’m jealous. <@U16RAECF5> and I have nothing but *hard* sandbagging by our Mission contacts...,topic-14
82,90,same author,That seems the norm,topic-14
83,91,same author,<@U16TY5M6F>: can we use any of this data to build the IRT ranking model?,topic-14
84,92,cosine 0.818094595681,Probably. What's the underlying concept?,topic-14
85,93,same author,"<@U1CCHNQ3V>: Where you at bro? In SD this week, so is Chris, so is Micah. Sup with it?",topic-14
86,94,cosine 0.86573597427,<@U16RLTH3N>: I need to download the app on my phone so I get these messages instantly. But I'm gonna get some drinks with <@U16RAECF5>,topic-14
87,95,cosine 0.812543782583,"Hey <@U16RAECF5> and <@U1CCHNQ3V>: Try this out for a recommendation when you get your beers. The story about how it was made is linked, and the recommender is at the bottom of the linked page. <http://willnetsky.github.io/Beer-Recommender/>",topic-14
88,96,cosine 0.887797454484,"It’s a pretty simple recommender -- seems to just key on most descriptive word. This is a little tough, because while there are a lot of nerds who rate beer, there are a lot of bros who know like 4 beer words: “dank”, “fruit”, “sour”, ... . And, this sort of mainlines the recommendations. I think a little filtering would help clean this up.",topic-14
89,97,cosine 0.886494893897,"Also, some rankings.",topic-14
90,98,no similarity nor grammatically a reply,Checked it out. I'm into it.,topic-14
91,99,previous topic with one element,Two syllabi that my be of interest: Matt Blackwell: <http://www.mattblackwell.org/files/teaching/gov2002-15f-syllabus.pdf> and Danny Hidalgo: <http://www.mit.edu/~dhidalgo/syllabi/17_802_syll2014.pdf>. MR_WHITE pointed out that Hidalgo is more interested in observational data. Nice bibliography between the two.,topic-14
92,100,no similarity nor grammatically a reply,<@U16RY7PR6>: Can I share the PSU irb material --- specifically the short part where you dared PSU to not grant exempt status --- with <@U16RAECF5> and <@U1CCHNQ3V>? <@U1CCHNQ3V> is putting together an encouragement design intervention right now.,topic-14
93,101,grammatically upenn tag DT,"I bet he’ll share back his completed documents, too?",topic-14
94,102,no similarity nor grammatically a reply,<@U16RY7PR6>: <@U16RLTH3N> <@U16RAECF5> and I would be happy to share the completed documents,topic-14
95,103,previous topic with one element,<@U16RLTH3N>: <@U16RAECF5> <@U1CCHNQ3V> Totally! I have a folder full of IRBs and you are welcome to any of them. I think that one that MR_WHITE has probably contains the sharpest language.,topic-14
96,105,no similarity nor grammatically a reply,<@U1CCHNQ3V>: I just uploaded the doc I’m sending to Berkelye.,topic-14
